Glon,Glat,ra,dec,HIP,vmag,VarFlag,BTmag,VTmag,B-V
9.5889,28.2415,247.20237799999998,-5.4455160000000005,80717,8.58,,11.04,8.827,1.827
158.9158,16.0842,92.03367,54.915183999999996,29085,8.57,,9.412,8.677,0.6729999999999999
82.3007,61.0589,220.12674199999998,46.542463,71740,8.57,,8.951,8.384,0.53
150.4018,-40.9435,34.265432000000004,17.316606,10648,8.57,,9.117,8.619,0.46
77.7728,-58.1445,350.846208,-3.215327,115464,8.57,,9.88,8.703,1.0090000000000001
30.3267,40.8529,244.508525,15.525685999999999,79854,8.57,,9.154,8.634,0.488
65.1806,30.0724,265.02955099999997,39.751611,86473,8.57,,9.126,8.612,0.483
269.3256,-52.0506,48.872618,-54.62712,15166,8.57,,9.826,8.689,0.978
226.173,64.3626,166.435622,18.8379,54229,8.57,,9.852,8.686,1.0
26.8801,60.0225,224.86665499999998,20.371107000000002,73355,8.56,,10.212,8.701,1.271
211.7254,72.575,173.376909,26.146662,56385,8.56,,10.494000000000002,8.707,1.47
251.913,74.152,180.06104,16.604409,58537,8.56,,9.112,8.61,0.47200000000000003
300.0861,-80.0346,13.476656,-37.080023,4226,8.56,,9.023,8.603,0.425
35.1795,35.4813,251.18587200000002,17.043135,81974,8.56,,9.846,8.674,1.005
271.2361,24.516,159.36158600000002,-29.984675,52001,8.55,,9.209,8.607999999999999,0.5760000000000001
56.8654,56.8447,230.68208700000002,35.394785,75268,8.55,,9.738999999999999,8.647,0.9440000000000001
113.9558,-61.5717,8.599129,1.002685,2706,8.55,,9.734,8.66,0.93
273.4598,39.8964,169.534238,-17.576406,55199,8.55,,10.141,8.712,1.206
164.3183,78.0433,183.14168999999998,35.762493,59540,8.55,,9.262,8.863999999999999,0.43700000000000006
229.2014,-34.6124,75.983885,-27.659415000000003,23559,8.55,,10.447000000000001,8.713,1.446
258.1625,-17.4881,106.37909599999999,-47.702965999999996,34197,8.55,,9.79,8.671,0.9640000000000001
77.5975,-46.1276,343.14710099999996,6.020736,112955,8.55,,9.086,8.607999999999999,0.45
355.1483,17.0578,247.9054,-22.801223,80937,8.53,,10.094,8.731,1.1540000000000001
330.2187,-80.2049,7.346754,-35.72525,2303,8.53,,9.042,8.562000000000001,0.46399999999999997
168.9615,-11.1502,68.501983,31.202521,21283,8.53,,9.904,8.631,1.084
60.5392,70.4657,213.953695,34.586220000000004,69680,8.53,,9.294,8.583,0.6709999999999999
249.9932,12.3406,133.33086699999998,-25.246947,43641,8.52,,9.804,8.657,0.986
286.5593,-63.7941,24.480238,-51.831274,7602,8.52,,9.811,8.636000000000001,1.008
232.4422,47.3388,152.727069,7.694584,49861,8.52,,9.177,8.67,0.544
118.976,25.0185,312.677843,85.867953,102893,8.52,,8.773,8.55,0.218
6.7454,6.1541,264.53584,-19.974458,86312,8.52,,10.939,8.777000000000001,1.787
170.3537,-32.0775,53.223507,15.549809,16532,8.52,,9.095,8.626,0.2
173.2505,-56.7223,37.902778000000005,-3.979589,11751,8.52,,8.875,8.555,0.304
27.677,42.6634,241.979819,14.422873000000001,79034,8.52,,8.815,8.519,0.281
163.5889,-40.0138,43.656577,12.939233999999999,13557,8.52,,8.889,8.543,0.32799999999999996
16.8986,-59.4414,338.03291,-31.173596000000003,111228,8.52,,9.38,8.61,0.685
42.5288,-12.9304,298.731462,2.4402470000000003,97995,8.52,,8.512,8.514,0.003
145.834,-1.3519,54.283407999999994,53.983253000000005,16874,8.51,,8.811,8.517999999999999,0.24
315.9846,-71.945,7.2174320000000005,-44.606949,2266,8.51,,9.055,8.558,0.446
169.7277,-47.8246,42.24223,4.080017,13137,8.51,,8.568999999999999,8.492,0.076
178.6571,-30.5983,59.398862,11.49692,18520,8.51,,9.388,8.647,0.2
217.662,60.6934,161.309364,21.20461,52592,8.51,,9.681000000000001,8.597000000000001,0.937
56.9796,-42.754,330.701623,-2.4789830000000004,108827,8.51,,9.17,8.586,0.545
177.6533,-29.6596,59.527191,12.769416,18549,8.51,,8.693999999999999,8.552,0.13699999999999998
176.6774,35.1651,126.75956000000001,43.858171,41434,8.5,,9.979,8.605,1.163
266.7768,-53.2832,48.425163,-52.668243000000004,15034,8.5,,8.949,8.543,0.384
104.2447,-75.6758,8.183682000000001,-13.487074,2579,8.5,,8.55,8.504,0.047
164.513,-3.9876,71.584652,39.227815,22180,8.5,,10.235,8.683,1.3030000000000002
334.2858,38.7689,218.090775,-17.88121,71098,8.49,,8.735,8.471,0.21
349.2186,-50.3311,329.22385099999997,-48.038585999999995,108332,8.49,,9.923,8.65,1.084
182.9404,70.3862,171.971607,35.370564,55939,8.49,,10.039,8.612,1.18
98.8954,-50.4968,357.628238,9.509711,117564,8.49,,8.897,8.547,0.332
12.1751,-50.5813,327.429681,-33.541626,107752,8.49,,10.265999999999998,8.619,1.3780000000000001
91.618,50.2788,230.184125,56.785524,75098,8.49,,9.766,8.596,1.004
313.2651,62.0655,197.67979,-0.418808,64298,8.49,,10.232000000000001,8.613999999999999,1.355
34.7403,55.976,230.331814,23.18093,75139,8.49,,9.008,8.543,0.43799999999999994
44.7782,53.753,233.999767,28.409246999999997,76380,8.48,,8.975,8.516,0.433
24.5631,-42.3939,319.881664,-23.772214,105284,8.48,,10.012,8.628,1.171
208.7221,36.9274,135.362049,19.037276000000002,44312,8.48,,10.072000000000001,8.615,1.228
301.3526,33.0711,191.334506,-29.781878999999996,62236,8.48,,8.752,8.476,0.26
141.4807,-85.229,14.501707000000001,-22.595686999999998,4530,8.48,1.0,10.443,8.636000000000001,1.54
258.5016,-71.5186,29.534126,-39.340802000000004,9179,8.48,,9.836,8.599,1.056
175.1407,21.9149,108.541021,42.54353,34971,8.48,,9.793,8.613,1.011
205.4044,47.8646,145.845011,24.604816,47685,8.48,,9.158999999999999,8.543,0.574
24.5956,-82.6609,4.633241,-27.951991999999997,1489,8.47,,10.234,8.604,1.364
71.5074,-46.0745,339.956848,3.242443,111886,8.47,,10.447000000000001,8.609,1.5290000000000001
351.5119,-61.7193,343.854862,-42.884449,113196,8.47,,9.052,8.521,0.51
214.7883,69.9298,170.672053,24.733579000000002,55547,8.47,,9.044,8.493,0.516
271.3745,31.2328,163.444751,-24.33215,53276,8.47,,9.01,8.555,1.2
141.3708,62.8595,179.221163,52.271806,58258,8.47,,10.219,8.597999999999999,1.37
90.0282,-42.8843,348.671475,13.721473999999999,114751,8.47,,9.065,8.533,0.499
185.3149,-14.053,76.755962,16.827424,23807,8.46,,9.002,8.521,0.488
17.4328,40.883,240.05986600000003,6.813588,78390,8.46,,9.717,8.556000000000001,0.997
25.9341,-38.1815,315.84986299999997,-21.536898,103927,8.46,,10.136000000000001,8.611,1.2819999999999998
349.2642,40.9175,226.519879,-9.538146000000001,73886,8.46,,9.586,8.56,0.894
316.9167,73.5716,196.853961,11.134862,64035,8.46,,9.231,8.547,0.632
177.0023,2.8476,87.44248499999999,32.973166,27528,8.46,,9.333,8.516,0.721
1.1569,-0.9831,268.04503700000004,-28.451133000000002,87455,8.46,,10.829,8.609,1.875
194.0581,-65.0515,37.524392,-16.977657,11632,8.46,1.0,9.708,8.561,0.986
86.9265,-67.6256,359.783091,-8.487671,118253,8.46,,8.847000000000001,8.472000000000001,0.36700000000000005
186.1532,-49.798,48.210139,-5.131551,14959,8.45,,9.04,8.505,0.504
272.3428,49.1932,173.18623300000002,-8.947838,56315,8.45,,10.07,8.586,1.249
187.5156,64.3452,164.269431,35.198304,53525,8.45,,9.658,8.554,0.9520000000000001
296.4087,-38.462,36.963028,-77.418552,11464,8.45,,9.884,8.558,1.125
119.174,-55.9984,10.744162,6.811599,3382,8.45,,9.974,8.581,1.178
48.7103,-16.5903,304.876889,5.839003,100210,8.45,,8.886000000000001,8.496,0.371
318.048,-40.1,332.71855,-71.97578100000001,109494,8.45,,8.507,8.439,0.061
334.2753,-85.6017,10.19603,-30.859376,3202,8.45,,9.633,8.548,0.927
299.2251,34.355,189.38021799999999,-28.416595,61607,8.45,,8.923,8.479,0.433
16.28,-24.9369,299.32422599999995,-25.056245999999998,98200,8.45,,9.092,8.52,0.5379999999999999
246.6233,4.0261,123.63081899999999,-27.4168,40370,8.45,,9.715,8.59,0.9690000000000001
